runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,0,338672,2651080,200140,376168,0,0,0,0,722,294,24,1,74,0,0,0,"-0,348144089","0,658612293","1,070051607","0,1575975897","0,7738004721","-1,130883645","-0,033135159","0,4600675281","-0,689113302","0,1959989645","0,2346173296","-0,014438604","-0,010355113","-0,20234143","0,023560059","-0,207951648"
1,0,338672,1893560,200140,376168,0,0,0,2,682,252,24,1,75,0,0,0,"-0,646069776","0,4723186242","1,1854879581","-0,332230815","0,2499049287","-0,3366021","-0,114539648","0,3776356113","-0,525276146","0,1982123779","0,215567633","-0,15311505","-0,044478694","-0,100592647","-0,042105125","0,0359863664"
1,0,338672,1129676,200148,376168,0,0,0,6,685,241,24,1,75,0,0,0,"-0,678670254","0,4502596703","1,3087121514","-0,820426212","-0,267648076","0,4384848411","-0,310549712","0,3042528295","-0,460568944","0,1710195461","0,2254664476","-0,158305574","-0,122791963","-0,079534403","-0,007328352","-0,020675556"
1,0,338672,2758564,200148,376168,0,0,0,0,724,293,25,1,74,0,0,0,"-0,306242788","1,2962854818","0,8764783959","0,463831178","0,7955466854","-1,268656757","-0,435853351","0,6353384253","-0,102982927","0,1167149457","0,0762146242","-0,365892373","-0,39971638","0,2438626337","0,1492367679","-0,035376179"
1,0,338672,2068888,200148,376168,0,0,0,2,588,245,24,1,75,0,0,0,"-0,785586302","0,3761719058","1,104835958","-0,314976153","0,4173105056","-0,529550092","0,0740392407","0,3842680659","-0,313534224","0,0557063355","-0,003596632","-0,116660307","0,0147954436","-0,127721988","-0,040755506","0,0515364687"
1,0,338672,1313464,200156,376160,0,0,0,8,414,236,24,1,75,0,0,0,"-1,073456915","0,1860347029","1,130892474","-0,95657806","-0,013597243","0,2128942573","0,1335251832","0,2958145654","0,1866050666","-0,258599576","-0,42096194","-0,037785568","0,0590519319","-0,178085396","-0,005838986","0,0108490643"
1,0,338672,547344,200156,376172,0,0,0,0,425,245,24,1,75,0,0,0,"-1,078007056","0,2150646698","1,2482212028","-1,429283608","-0,546347033","0,9955168916","-0,082654593","0,2193460575","0,2284863118","-0,273469764","-0,406261212","-0,041593167","0,0415916948","-0,17657372","0,0297966556","-0,036377655"
1,0,338672,2261524,200156,376172,0,0,0,2,444,274,24,1,74,0,0,0,"-0,790078581","0,3655530704","0,9749378019","-0,363361807","0,6479071003","-0,777591605","0,2861060196","0,3927578253","0,0245147459","-0,26606461","-0,421455374","0,0975027078","0,1099155365","-0,276925597","0,0612023838","-0,221916327"
1,0,338672,1497920,200164,376172,0,0,0,8,431,257,24,1,75,0,0,0,"-1,01925509","0,229829767","1,1159083458","-0,802296256","0,0924961736","0,0322077638","0,1377636976","0,3189972245","0,1351633959","-0,228519033","-0,393313785","-0,026879923","0,1041273669","-0,204481842","-0,030413335","0,0330901604"
1,0,338672,738400,200164,376172,0,0,0,0,421,231,24,1,75,0,0,0,"-1,093151208","0,1954563513","1,2139291299","-1,326634335","-0,406022883","0,7975020889","-0,014205111","0,2351649111","0,2156969509","-0,267952887","-0,403747168","-0,05218613","0,0246707517","-0,159284831","0,0335756892","-0,030795775"
